[10-Jun-2026 15:48:47 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 28
[10-Jun-2026 15:50:48 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 28
[10-Jun-2026 15:51:17 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 28
[10-Jun-2026 15:51:18 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 28
[10-Jun-2026 15:58:10 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 31
[10-Jun-2026 16:00:10 UTC] PHP Fatal error:  Uncaught ArgumentCountError: _() expects exactly 1 argument, 2 given in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php:32
Stack trace:
#0 C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php(32): _('Main Menu', 'The main menu o...')
#1 C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-settings.php(739): include('C:\\Users\\User\\W...')
#2 C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-config.php(103): require_once('C:\\Users\\User\\W...')
#3 C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-load.php(50): require_once('C:\\Users\\User\\W...')
#4 C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-admin\admin-ajax.php(22): require_once('C:\\Users\\User\\W...')
#5 {main}
  thrown in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 32
[10-Jun-2026 16:02:10 UTC] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\functions.php on line 32
[10-Jun-2026 18:54:50 UTC] PHP Parse error:  syntax error, unexpected end of file, expecting "elseif" or "else" or "endif" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\header.php on line 52
[13-Jun-2026 12:20:22 UTC] PHP Warning:  Undefined array key "Information" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 19
[20-Jun-2026 10:47:17 UTC] PHP Warning:  Undefined array key "place_image" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 144
[20-Jun-2026 10:47:17 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 10:55:36 UTC] PHP Warning:  Undefined array key "place_image" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 144
[20-Jun-2026 10:55:36 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 10:55:54 UTC] PHP Warning:  Undefined array key "place_image" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 144
[20-Jun-2026 10:55:54 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:02:46 UTC] PHP Warning:  Undefined array key "place_image" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 144
[20-Jun-2026 11:12:39 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:15:10 UTC] PHP Warning:  Undefined array key "place_image" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 144
[20-Jun-2026 11:18:52 UTC] PHP Warning:  Undefined array key "country" in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 145
[20-Jun-2026 11:18:52 UTC] PHP Warning:  Undefined variable $place_image in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 157
[20-Jun-2026 11:18:52 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 158
[20-Jun-2026 11:25:52 UTC] PHP Warning:  Undefined variable $country in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:25:52 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:26:44 UTC] PHP Warning:  Array to string conversion in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 155
[20-Jun-2026 11:26:44 UTC] PHP Warning:  Undefined variable $country in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:26:44 UTC] PHP Warning:  Trying to access array offset on value of type null in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
[20-Jun-2026 11:27:41 UTC] PHP Warning:  Undefined variable $country in C:\Users\User\Work\FrontEnd-study\wordpress-repo\wp-projects\e-portfolio\app\public\wp-content\themes\e-portfolio\front-page.php on line 156
